,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset,network
0,1,1,0.901112625002861,0.6659833333333334,16.723607301712036,21.18821620941162,0.01,1000,1,cuda,normal,no_batch_norm
1,1,2,0.47694316456715263,0.8195,18.360125303268433,39.93530893325806,0.01,1000,1,cuda,normal,no_batch_norm
2,1,3,0.39248305310805637,0.85525,15.031229496002197,55.26595115661621,0.01,1000,1,cuda,normal,no_batch_norm
3,1,4,0.35231850991646446,0.8691166666666666,17.14237666130066,72.56989622116089,0.01,1000,1,cuda,normal,no_batch_norm
4,1,5,0.32312284658352536,0.8800333333333333,17.23319172859192,90.01053047180176,0.01,1000,1,cuda,normal,no_batch_norm
5,1,6,0.30896214246749876,0.8844166666666666,18.254326581954956,108.54211497306824,0.01,1000,1,cuda,normal,no_batch_norm
6,1,7,0.30311245371898016,0.88745,18.177959442138672,126.99605441093445,0.01,1000,1,cuda,normal,no_batch_norm
7,1,8,0.2858966807524363,0.8927833333333334,18.000934839248657,145.26730465888977,0.01,1000,1,cuda,normal,no_batch_norm
8,1,9,0.2721316769719124,0.8979833333333334,17.826545476913452,163.29681515693665,0.01,1000,1,cuda,normal,no_batch_norm
9,1,10,0.26544080128272374,0.90025,17.312092065811157,180.86921191215515,0.01,1000,1,cuda,normal,no_batch_norm
10,2,1,0.5881214082241059,0.78605,17.89259433746338,21.555299282073975,0.01,1000,1,cuda,normal,batch_norm
11,2,2,0.34904388785362245,0.8697833333333334,16.633195877075195,38.50681138038635,0.01,1000,1,cuda,normal,batch_norm
12,2,3,0.3098217621445656,0.8845333333333333,16.70570158958435,55.563573598861694,0.01,1000,1,cuda,normal,batch_norm
13,2,4,0.28733460530638694,0.8925833333333333,11.929105520248413,67.67219853401184,0.01,1000,1,cuda,normal,batch_norm
14,2,5,0.2666025884449482,0.9007833333333334,11.809398889541626,79.66508054733276,0.01,1000,1,cuda,normal,batch_norm
15,2,6,0.25449236407876014,0.9049833333333334,11.520201921463013,91.36180925369263,0.01,1000,1,cuda,normal,batch_norm
16,2,7,0.24282767474651337,0.90985,11.57203459739685,103.13926529884338,0.01,1000,1,cuda,normal,batch_norm
17,2,8,0.23158246328433355,0.9133666666666667,11.70369839668274,115.06836104393005,0.01,1000,1,cuda,normal,batch_norm
18,2,9,0.2243598555525144,0.9152333333333333,11.870269060134888,127.15204310417175,0.01,1000,1,cuda,normal,batch_norm
19,2,10,0.22121075068910917,0.9175333333333333,11.704700231552124,139.09606981277466,0.01,1000,1,cuda,normal,batch_norm
